ball,name,vendor_type,electrical_type,unit,unit_title,group,supply,source_row,correction,mux
AE7,PL13,I/O,bidirectional,G,GPIO K / L / M,Port L,VCC-PL,349,,2:S-TWI2-SDA; 3:MCU-PWM0-7; 4:S-UART0-RX; 5:S-DMIC-DATA3; 6:S-SPI0-MISO; 14:PL-EINT13
AE9,PL6,I/O,bidirectional,G,GPIO K / L / M,Port L,VCC-PL,342,,2:S-JTAG-DO; 3:MCU-PWM0-4; 4:S-I2S0-DIN1; 5:S-I2S0-DOUT0; 6:S-DMIC-DATA2; 14:PL-EINT6
AE11,TEST,I,input,C,System / clocks / boot,System,VCC-RTC,85,TEST: AE1 -> AE11,
AE13,WREQIN,I,input,C,System / clocks / boot,DCXO,VCC-PG,99,,
AE15,GND,G,power_in,M,Digital ground 2,Ground,N/A,492,,
AE17,GND,G,power_in,M,Digital ground 2,Ground,N/A,493,,
AE19,GND,G,power_in,M,Digital ground 2,Ground,N/A,494,,
AE21,SBA1,O,output,B,DRAM address / control / power,SDRAM,VCC-DRAM/VCC-DRAML,23,,
AE23,SA16,O,output,B,DRAM address / control / power,SDRAM,VCC-DRAM/VCC-DRAML,19,,
AE26,SA17,O,output,B,DRAM address / control / power,SDRAM,VCC-DRAM/VCC-DRAML,20,,
AE27,SA9,O,output,B,DRAM address / control / power,SDRAM,VCC-DRAM/VCC-DRAML,12,,
AE28,SA11,O,output,B,DRAM address / control / power,SDRAM,VCC-DRAM/VCC-DRAML,14,,
AE29,SA2,O,output,B,DRAM address / control / power,SDRAM,VCC-DRAM/VCC-DRAML,5,,
AF1,MIC-DET,AI,input,J,Audio / ADC,Audio Codec,AVCC,156,,
AF2,HP-DET,AI,input,J,Audio / ADC,Audio Codec,AVCC,157,,
AF7,PL12,I/O,bidirectional,G,GPIO K / L / M,Port L,VCC-PL,348,,2:S-TWI2-SCK; 3:MCU-PWM0-6; 4:S-UART0-TX; 5:S-DMIC-DATA2; 6:S-SPI0-MOSI; 14:PL-EINT12
AF9,PL7,I/O,bidirectional,G,GPIO K / L / M,Port L,VCC-PL,343,,2:S-JTAG-DI; 3:MCU-PWM0-5; 4:S-I2S0-DOUT1; 5:S-I2S0-DIN0; 6:S-DMIC-DATA1; 14:PL-EINT7
AF11,GND,G,power_in,M,Digital ground 2,Ground,N/A,495,,
AF13,GND,G,power_in,M,Digital ground 2,Ground,N/A,496,,
AF15,SDQ26,I/O,bidirectional,A,DRAM data,SDRAM,VCC-DRAM/VCC-DRAML,57,,
AF17,SDQ30,I/O,bidirectional,A,DRAM data,SDRAM,VCC-DRAM/VCC-DRAML,61,,
AF19,SDQ19,I/O,bidirectional,A,DRAM data,SDRAM,VCC-DRAM/VCC-DRAML,50,,
AF21,SBA0,O,output,B,DRAM address / control / power,SDRAM,VCC-DRAM/VCC-DRAML,22,,
AF23,SA5,O,output,B,DRAM address / control / power,SDRAM,VCC-DRAM/VCC-DRAML,8,,
AF25,SA13,O,output,B,DRAM address / control / power,SDRAM,VCC-DRAM/VCC-DRAML,16,,
AF28,GND,G,power_in,M,Digital ground 2,Ground,N/A,497,,
AF29,SA0,O,output,B,DRAM address / control / power,SDRAM,VCC-DRAM/VCC-DRAML,3,,
AG1,MBIAS,AO,output,J,Audio / ADC,Audio Codec,VDD33,158,,
AG2,HBIAS,AO,output,J,Audio / ADC,Audio Codec,VDD33,159,,
AG3,CPVIN,P,power_in,J,Audio / ADC,Audio Codec,N/A,164,,
AG5,GND,G,power_in,M,Digital ground 2,Ground,N/A,498,,
AG7,GND,G,power_in,M,Digital ground 2,Ground,N/A,499,,
AG9,PL9,I/O,bidirectional,G,GPIO K / L / M,Port L,VCC-PL,345,,2:S-TWI1-SDA; 4:S-RJTAG-CK; 5:S-PWM0-1; 6:S-DMIC-CLK; 14:PL-EINT9
AG10,PL8,I/O,bidirectional,G,GPIO K / L / M,Port L,VCC-PL,344,,2:S-TWI1-SCK; 4:S-RJTAG-MS; 5:S-I2S0-MCLK; 6:S-DMIC-DATA0; 14:PL-EINT8
AG11,X32KFOUT,"AO, OD",open_collector,C,System / clocks / boot,RTC&PLL,VCC-PM,89,,
AG12,GND,G,power_in,M,Digital ground 2,Ground,N/A,500,,
AG13,GND,G,power_in,M,Digital ground 2,Ground,N/A,501,,
AG14,GND,G,power_in,M,Digital ground 2,Ground,N/A,502,,
AG15,SDQ27,I/O,bidirectional,A,DRAM data,SDRAM,VCC-DRAM/VCC-DRAML,58,,
AG17,SDQ29,I/O,bidirectional,A,DRAM data,SDRAM,VCC-DRAM/VCC-DRAML,60,,
AG19,SDQ20,I/O,bidirectional,A,DRAM data,SDRAM,VCC-DRAM/VCC-DRAML,51,,
AG21,SA8,O,output,B,DRAM address / control / power,SDRAM,VCC-DRAM/VCC-DRAML,11,,
AG23,SA3,O,output,B,DRAM address / control / power,SDRAM,VCC-DRAM/VCC-DRAML,6,,
AG25,SACT,O,output,B,DRAM address / control / power,SDRAM,VCC-DRAM/VCC-DRAML,21,,
AG27,SA12,O,output,B,DRAM address / control / power,SDRAM,VCC-DRAM/VCC-DRAML,15,,
AG28,SODT0,O,output,B,DRAM address / control / power,SDRAM,VCC-DRAM/VCC-DRAML,75,,
AG29,SODT1,O,output,B,DRAM address / control / power,SDRAM,VCC-DRAM/VCC-DRAML,76,,
AH1,HPOUTL,AO,output,J,Audio / ADC,Audio Codec,CPVIN,153,,
AH2,HPOUTFB,AI,input,J,Audio / ADC,Audio Codec,CPVIN,155,,
AH3,GND,G,power_in,M,Digital ground 2,Ground,N/A,503,,
AH4,PM3,I/O,bidirectional,G,GPIO K / L / M,Port M,VCC-PM,355,,2:S-TWI1-SDA; 3:S-RJTAG-CK; 4:MCU-PWM0-5; 14:PM-EINT3
AH5,PM2,I/O,bidirectional,G,GPIO K / L / M,Port M,VCC-PM,354,,2:S-TWI1-SCK; 3:S-RJTAG-MS; 4:MCU-PWM0-4; 14:PM-EINT2
AH6,PM5,I/O,bidirectional,G,GPIO K / L / M,Port M,VCC-PM,357,,2:S-IR-RX; 3:S-RJTAG-DI; 4:S-TWI2-SDA; 5:MCU-PWM0-7; 14:PM-EINT5
AH7,PL1,I/O,bidirectional,G,GPIO K / L / M,Port L,VCC-PL,337,,2:S-TWI0-SDA; 14:PL-EINT1
AH8,PL3,I/O,bidirectional,G,GPIO K / L / M,Port L,VCC-PL,339,,2:S-UART0-RX; 3:S-UART1-RX; 4:MCU-PWM0-1; 14:PL-EINT3
AH9,PL4,I/O,bidirectional,G,GPIO K / L / M,Port L,VCC-PL,340,,2:S-JTAG-MS; 4:MCU-PWM0-2; 5:S-I2S0-BCLK; 14:PL-EINT4
AH10,GND,G,power_in,M,Digital ground 2,Ground,N/A,504,,
AH11,X32KOUT,AO,output,C,System / clocks / boot,RTC&PLL,VCC-RTC,91,,
AH12,X32KIN,AI,input,C,System / clocks / boot,RTC&PLL,VCC-RTC,90,,
AH13,DXIN,AI,input,C,System / clocks / boot,DCXO,VCC-DCXO,96,,
AH14,REFCLK-OUT,AO,output,C,System / clocks / boot,DCXO,VCC-DCXO,98,,
AH15,SDQS3P,I/O,bidirectional,A,DRAM data,SDRAM,VCC-DRAM/VCC-DRAML,73,,
AH16,GND,G,power_in,M,Digital ground 2,Ground,N/A,505,,
